Title,Description,Manifest,Year,Place
"Per Annamaria, Carmine, Ciacione, Donato, Franco, Mario, Peppe, Giuliano, Sandro e spavento","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0024/manifest.json","1976","Salerno"
"Un`ambigua utopia 9","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0025/manifest.json","1978","Milano"
"Benvenuti nella città più libera del mondo!","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0023/manifest.json","1977","Bologna"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0022/manifest.json","1977","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0029/manifest.json","1977","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0028/manifest.json",,"[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0027/manifest.json","0","[n.d.]"
"Foglia(o) caduta per caso...","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0026/manifest.json","0","[n.d.]"
"L`eroina","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0033/manifest.json","1977","[n.d.]"
"La rivoluzione è possibile","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0032/manifest.json","1977","Perugia"
"Compagni","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0031/manifest.json",,"Napoli"
"Ma chi é","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0030/manifest.json",,"[n.d.]"
"Liberare la vita dal lavoro è possibile","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0037/manifest.json",,"Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0036/manifest.json","1978","[n.d.]"
"Squilibri o catastrofe - 1","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0035/manifest.json","1978","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0034/manifest.json","1977","Milano"
"Chi ha fatto questo giornale???","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0041/manifest.json",,"[n.d.]"
"Il cammello tetesco della valle della luna","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0040/manifest.json",,"[n.d.]"
"Ridere, ridere forte","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0039/manifest.json",,"[n.d.]"
"Speciale vacanze","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0038/manifest.json","1977","[n.d.]"
"Pas de Chance","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0045/manifest.json","1978","[n.d.]"
"Zombie international","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0043/manifest.json","1977","Torino"
"Radio Alice","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0044/manifest.json","1977","Bologna"
"Arcipelago corpo 8","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0042/manifest.json",,"[n.d.]"
"Désir","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0049/manifest.json","1977","[n.d.]"
"Giornale dei non-garantiti","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0048/manifest.json",,"Bologna"
"Giornale dei non-garantiti","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0047/manifest.json",,"Bologna"
"Giornale dei non-garantiti","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0046/manifest.json",,"Bologna"
"Chiamiamo wow il movimento reale che si strugge e supera lo stato presente delle cose per la quinta internazionale","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0053/manifest.json",,"[n.d.]"
"Fare no, dis/fare","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0052/manifest.json","1977","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0051/manifest.json",,"Ferrara"
"Roba di Periferia","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0050/manifest.json","1977","[n.d.]"
"Catalogo","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0057/manifest.json","1977","Roma"
"La rivista degli squilibri più avanzati","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0056/manifest.json",,"[n.d.]"
"Si canterà nei tempi bui? Si canterà dei tempi bui.","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0055/manifest.json","1978","Bologna"
"Domani ti sparo!","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0054/manifest.json","1977","Brescia"
"Speciale estate","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0059/manifest.json","1976","[n.d.]"
"Poesia e critica","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0058/manifest.json","1977","[n.d.]"
"È cessato il cattivo tempo","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0061/manifest.json","1976","Milano"
"Aperiodico in libertà fatto in casa!","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0060/manifest.json",,"Roma"
"Fojio irregolare","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0064/manifest.json","1977","Torino"
"E c`è anche la microconflittualità","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0063/manifest.json","1978","Bologna"
"La società del sacrificio","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0062/manifest.json","1977","Bologna"
"Foglio irregolar","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0065/manifest.json","1977","Torino"
"La metropoli dal volto umano","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0067/manifest.json",,"Firenze"
"Margine ambiguo","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0066/manifest.json",,"[n.d.]"
"La rivoluzione non è clandestina","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0071/manifest.json","1977","Milano"
"12 marzo: un bel giorno per cominciare","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0070/manifest.json","1977","Milano"
"La rivoluzione è a metà","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0069/manifest.json","1977","Milano"
"La rivoluzione è giusta necessaria possibile","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0068/manifest.json","1977","Bologna"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0073/manifest.json","1977","Bologna"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0074/manifest.json","1976","[n.d.]"
"Fire Fire Fire","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0072/manifest.json","1976","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0075/manifest.json","1975","[n.d.]"
"Wounded knee: i fratelli sioux lottano per la vita","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0079/manifest.json","1976","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0077/manifest.json","1975","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0078/manifest.json","1976","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0076/manifest.json","1976","[n.d.]"
"Numero speciale contro la repressione","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0083/manifest.json","1977","[n.d.]"
"Numero speciale di critica comunichilista","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0082/manifest.json","1977","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0081/manifest.json","1977","Milano"
"Fioritura del cervello!","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0080/manifest.json",,"[n.d.]"
"Giù le mani da Gulmini!","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0087/manifest.json","1978","Milano"
"Rivista di controinformazione e di controcultura","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0086/manifest.json","1977","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0085/manifest.json","1979","[n.d.]"
"Armonicismo","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0084/manifest.json","1978","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0091/manifest.json","1976","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0090/manifest.json","1977","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0089/manifest.json","1977","Milano"
"È in edicola Casale Contro","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0088/manifest.json",,"[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0094/manifest.json","1976","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0093/manifest.json",,"[n.d.]"
"Enigmistica","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0092/manifest.json",,"[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0095/manifest.json","1977","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0099/manifest.json",,"[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0098/manifest.json","1977","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0097/manifest.json",,"Bologna"
"Di quale corpo ha bisogno oggi il Capitale?","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0096/manifest.json","1976","Milano"
"Rifiut are,","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0102/manifest.json",,"[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0103/manifest.json","1972","Milano"
"Strippoteorico","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0101/manifest.json","1977","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0100/manifest.json",,"Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0107/manifest.json","1972","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0106/manifest.json","1972","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0105/manifest.json","1972","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0104/manifest.json","1972","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0111/manifest.json","1973","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0110/manifest.json","1972","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0109/manifest.json","1972","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0108/manifest.json","1972","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0112/manifest.json","1973","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0115/manifest.json","1973","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0114/manifest.json","1973","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0113/manifest.json","1973","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0116/manifest.json","0","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0117/manifest.json","1971","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0118/manifest.json","1971","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0121/manifest.json","0","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0122/manifest.json","0","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0120/manifest.json","1971","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0119/manifest.json","1971","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0126/manifest.json","0","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0124/manifest.json","1972","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0125/manifest.json","0","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0123/manifest.json","1971","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0129/manifest.json","1970","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0128/manifest.json","1970","Milano"
"I situazionisti","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0130/manifest.json","1972","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0127/manifest.json","1971","Milano"
"Situazione n.1","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0134/manifest.json","1967","Milano"
"Della miseria dei giovani","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0133/manifest.json","1967","Milano"
"Avviso sacro. Pene contro la moda disonesta","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0132/manifest.json","1967","Milano"
"Manifestazione ana oggettuale","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0131/manifest.json","0","[n.d.]"
"Potere agli studenti","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0137/manifest.json","1968","Milano"
"Avviso al proletario","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0136/manifest.json","1977","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0135/manifest.json","0","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0138/manifest.json","1970","Milano"
"Benvenuti nella città più libera del mondo","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0141/manifest.json","1977","Milano"
"Massacre d`état","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0142/manifest.json","1980","Bologna"
"Gianfranco Sanguinetti 1967","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0140/manifest.json","1967","Milano"
"Internazionale situazionista","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0139/manifest.json","1972","Milano"
"Per un rosso natale","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0146/manifest.json","0","Milano"
"Avviso al proletariato italiano","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0145/manifest.json","1969","Lucca"
"Assembla generale degli studenti","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0144/manifest.json","1965","Milano"
"Marx Business","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0143/manifest.json","1978","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0149/manifest.json","1967","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0150/manifest.json","1975","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0148/manifest.json","1971","Roma"
"Esperienza 2","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0147/manifest.json","1967","Lucca"
"Gio`","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0154/manifest.json","1972","Milano"
"Insekten Sekte","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0153/manifest.json","0","[n.d.]"
"Tampax!","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0152/manifest.json","1971","Roma"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0151/manifest.json","1976","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0157/manifest.json","1975","Napoli"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0158/manifest.json","0","[n.d.]"
"Menando il can per l`aria","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0156/manifest.json","1972","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0155/manifest.json","0","[n.d.]"
"Movimento ippi","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0162/manifest.json","0","Milano"
"Fallo!","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0161/manifest.json","0","[n.d.]"
"oltre underground","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0160/manifest.json","1973","Milano"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0159/manifest.json","0","[n.d.]"
"Mondo Beat","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0166/manifest.json","1967","Milano"
"I Kompagni contro la famiglia","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0164/manifest.json","1976","Roma"
"Rajneesh","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0165/manifest.json","1976","Milano"
"ippi vince perché ride","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0163/manifest.json","0","Roma"
"Mondo Beat","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0170/manifest.json","1967","Milano"
"Mondo Beat","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0169/manifest.json","1967","Milano"
"Mondo Beat","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0168/manifest.json","1967","Milano"
"Mondo Beat","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0167/manifest.json","1967","[n.d.]"
